NAME	TITLE	SCORE	
PSMC2	proteasome 26S subunit, ATPase 2 [Source:HGNC Symbol;Acc:HGNC:9548]	0.7389166	
NMNAT3	nicotinamide nucleotide adenylyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:20989]	0.7386949	
PAQR3	progestin and adipoQ receptor family member 3 [Source:HGNC Symbol;Acc:HGNC:30130]	0.73654366	
NBPF8	NBPF member 8 [Source:HGNC Symbol;Acc:HGNC:31990]	0.73573107	
EGR1	early growth response 1 [Source:HGNC Symbol;Acc:HGNC:3238]	0.73447657	
MDK	midkine [Source:HGNC Symbol;Acc:HGNC:6972]	0.7320029	
SRY	sex determining region Y [Source:HGNC Symbol;Acc:HGNC:11311]	0.73089117	
IGSF22	immunoglobulin superfamily member 22 [Source:HGNC Symbol;Acc:HGNC:26750]	0.7293604	
ECM2	extracellular matrix protein 2 [Source:HGNC Symbol;Acc:HGNC:3154]	0.7286498	
LEPR	leptin receptor [Source:HGNC Symbol;Acc:HGNC:6554]	0.7282603	
CCDC24	coiled-coil domain containing 24 [Source:HGNC Symbol;Acc:HGNC:28688]	0.72780114	
NECTIN3	nectin cell adhesion molecule 3 [Source:HGNC Symbol;Acc:HGNC:17664]	0.7277215	
WDR54	WD repeat domain 54 [Source:HGNC Symbol;Acc:HGNC:25770]	0.7273352	
SSH3	slingshot protein phosphatase 3 [Source:HGNC Symbol;Acc:HGNC:30581]	0.724035	
SLC16A11	solute carrier family 16 member 11 [Source:HGNC Symbol;Acc:HGNC:23093]	0.7234739	
PRSS22	serine protease 22 [Source:HGNC Symbol;Acc:HGNC:14368]	0.72328234	
PAX3	paired box 3 [Source:HGNC Symbol;Acc:HGNC:8617]	0.72295433	
INTU	inturned planar cell polarity protein [Source:HGNC Symbol;Acc:HGNC:29239]	0.72276235	
MET	MET proto-oncogene, receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:7029]	0.72218084	
DNAJC22	DnaJ heat shock protein family (Hsp40) member C22 [Source:HGNC Symbol;Acc:HGNC:25802]	0.72194475	
SFTPD	surfactant protein D [Source:HGNC Symbol;Acc:HGNC:10803]	0.7199953	
SYTL1	synaptotagmin like 1 [Source:HGNC Symbol;Acc:HGNC:15584]	0.7176832	
