"gene","Gene name","log2FoldChange","padj"
"ENSG00000148180","GSN",1.02396610671103e-06,0.841777727041793
"ENSG00000148337","CIZ1",-1.20153018487927e-05,0.552419118174841
"ENSG00000106976","DNM1",1.55052532448006e-06,0.622010552642724
"ENSG00000108021","TASOR2",-1.22435968254232e-06,0.910063900029055
"ENSG00000107614","TRDMT1",1.66270772771244e-07,0.991420215227092
"ENSG00000151150","ANK3",5.00390231544468e-08,0.994660077997686
"ENSG00000107736","CDH23",8.62440030411105e-07,0.707812315611211
"ENSG00000148660","CAMK2G",-5.86725711635249e-05,0.963609329072222
"ENSG00000165678","GHITM",-2.65941480677454e-06,0.938235107897218
"ENSG00000119977","TCTN3",-9.99507022159103e-07,0.939687428446588
"ENSG00000167244","IGF2",7.48739735104422e-07,NA
"ENSG00000168071","CCDC88B",7.83259816758605e-06,0.199356784142958
"ENSG00000168066","SF1",-1.06159540564154e-05,0.711235326875723
"ENSG00000127328","RAB3IP",-8.32174928527576e-07,0.894236835525084
"ENSG00000139436","GIT2",1.63870366798188e-06,0.99314884876255
"ENSG00000130779","CLIP1",1.97894398300268e-05,0.889802400152673
"ENSG00000090612","ZNF268",-6.10464113816679e-06,0.832546160410922
"ENSG00000132938","MTUS2",5.50817153395365e-07,0.162844404020305
"ENSG00000088387","DOCK9",3.40031708649941e-06,0.183115710189609
"ENSG00000126217","MCF2L",-2.36269726170675e-06,0.414533304700246
"ENSG00000126226","PCID2",2.66660929274366e-06,0.827135773717709
"ENSG00000092108","SCFD1",8.74397267446079e-07,0.957965111420017
"ENSG00000126214","KLC1",-1.55886951195297e-06,0.680595845582511
"ENSG00000114062","UBE3A",-1.33924723160526e-05,0.901384096778884
"ENSG00000134138","MEIS2",3.19312836342497e-06,0.528446060780503
"ENSG00000168970","JMJD7-PLA2G4B",-5.16868659232332e-07,0.957965111420017
"ENSG00000172379","ARNT2",-3.56184858038357e-07,0.94545948961433
"ENSG00000170776","AKAP13",5.33953000855712e-07,0.975022234902375
"ENSG00000166783","MARF1",-9.90288468850907e-06,0.479804423805984
"ENSG00000188603","CLN3",-1.60302941480324e-06,0.766651337063223
"ENSG00000149925","ALDOA",-1.72205881810833e-07,0.982532017046295
"ENSG00000103549","RNF40",7.16817484038572e-07,0.936672590155114
"ENSG00000172530","BANP",-6.68755554666274e-07,0.981525829980312
"ENSG00000103335","PIEZO1",-1.89156272328017e-06,0.729948216138053
"ENSG00000185324","CDK10",-4.81028921559455e-06,0.712839841301247
"ENSG00000133030","MPRIP",-1.08412218941159e-06,0.939687428446588
"ENSG00000087111","PIGS",-8.32999470331657e-07,0.955662175099272
"ENSG00000008294","SPAG9",4.37847500735282e-05,0.809990281973464
"ENSG00000182473","EXOC7",-0.000293575857463512,0.978535442006178
"ENSG00000141556","TBCD",0.000250636734041203,0.774596166133791
"ENSG00000177426","TGIF1",-6.90903652381396e-06,0.459024173193732
"ENSG00000128789","PSMG2",-5.04481170185305e-06,0.683745102284134
"ENSG00000172270","BSG",1.36285147340673e-05,0.609670052695514
"ENSG00000011304","PTBP1",-5.64078278569299e-06,0.800696234977975
"ENSG00000089335","ZNF302",-1.31286295046762e-06,0.909005700079091
"ENSG00000011332","DPF1",-4.65333901328955e-06,0.53009154507143
"ENSG00000028277","POU2F2",-3.36109571473989e-06,NA
"ENSG00000126457","PRMT1",-8.98627855364459e-06,0.385956971904238
"ENSG00000105136","ZNF419",-7.17853208017266e-07,0.693818991176044
"ENSG00000125826","RBCK1",-1.40303764892242e-05,0.971465423833633
"ENSG00000088881","EBF4",-7.29423714143177e-06,0.71347195220296
"ENSG00000078699","CBFA2T2",1.26951929796893e-06,0.941181000976559
"ENSG00000101019","UQCC1",-3.47016267300791e-10,0.999531069572613
"ENSG00000174306","ZHX3",-4.40701739437552e-06,0.64647086623019
